"Name","DisplayName","State","StartMode","PathName","ServiceType"
"tmusa","Trend Micro Osprey Driver","Running","Manual","C:\WINDOWS\system32\DRIVERS\tmusa.sys","Kernel Driver"
"MQAC","MQAC","Running","Auto","C:\WINDOWS\system32\drivers\mqac.sys","Kernel Driver"
"mpsdrv","Windows Defender Firewall Authorization Driver","Running","Manual","C:\WINDOWS\system32\drivers\mpsdrv.sys","Kernel Driver"
"mrxsmb","Wrapper e Mecanismo Mini-Redirecionador do SMB","Running","Manual","C:\WINDOWS\system32\DRIVERS\mrxsmb.sys","File System Driver"
"tmumh","tmumh","Running","System","C:\WINDOWS\system32\DRIVERS\TMUMH.sys","Kernel Driver"
"mrxsmb20","Mini-Redirecionador do SMB 2.0","Running","Manual","C:\WINDOWS\system32\DRIVERS\mrxsmb20.sys","File System Driver"
"mrxsmb10","Mini-Redirecionador do SMB 1.x","Running","Auto","C:\WINDOWS\system32\DRIVERS\mrxsmb10.sys","File System Driver"
"tmWfp","Trend Micro WFP Callout Driver","Running","Auto","C:\WINDOWS\system32\drivers\tmwfp.sys","Kernel Driver"
"MMCSS","Multimedia Class Scheduler","Running","Auto","C:\WINDOWS\system32\drivers\mmcss.sys","Kernel Driver"
"TPM","TPM","Running","Manual","C:\WINDOWS\system32\drivers\tpm.sys","Kernel Driver"
"monitor","Microsoft Monitor Class Function Driver Service","Running","Manual","C:\WINDOWS\system32\drivers\monitor.sys","Kernel Driver"
"mountmgr","Gerenciador de Pontos de Montagem","Running","Boot","C:\WINDOWS\system32\drivers\mountmgr.sys","Kernel Driver"
"mouhid","Driver do mouse HID","Running","Manual","C:\WINDOWS\system32\drivers\mouhid.sys","Kernel Driver"
"mouclass","Mouse Class Driver","Running","Manual","C:\WINDOWS\system32\drivers\mouclass.sys","Kernel Driver"
"tmeevw","tmeevw","Running","Manual","C:\WINDOWS\system32\DRIVERS\tmeevw.sys","Kernel Driver"
"MsQuic","MsQuic","Running","Manual","C:\WINDOWS\system32\drivers\msquic.sys","Kernel Driver"
"tmevtmgr","tmevtmgr","Running","Auto","C:\WINDOWS\system32\DRIVERS\tmevtmgr.sys","Kernel Driver"
"MsSecCore","Driver de Inicializa??o Principal de Seguran?a da Microsoft","Running","Boot","C:\WINDOWS\system32\drivers\msseccore.sys","Kernel Driver"
"mssmbios","Microsoft System Management BIOS Driver","Running","System","C:\WINDOWS\system32\drivers\mssmbios.sys","Kernel Driver"
"tmcomm","tmcomm","Running","System","C:\WINDOWS\system32\DRIVERS\tmcomm.sys","Kernel Driver"
"TMEBC","TMEBC","Running","Boot","C:\WINDOWS\system32\DRIVERS\TMEBC64.sys","Kernel Driver"
"tmnciesc","tmnciesc","Running","Manual","C:\WINDOWS\system32\DRIVERS\tmnciesc.sys","Kernel Driver"
"TmPreFilter","Trend Micro PreFilter","Running","Auto","\??\C:\Program Files (x86)\Trend Micro\OfficeScan Client\TmPreFlt.sys","Kernel Driver"
"Msfs","Msfs","Running","System","C:\WINDOWS\system32\drivers\Msfs.sys","File System Driver"
"TmKmSnsr","TmKmSnsr","Running","Auto","C:\WINDOWS\system32\DRIVERS\TmKmSnsr.sys","Kernel Driver"
"MsLldp","Protocolo Microsoft LLDP","Running","Auto","C:\WINDOWS\system32\drivers\mslldp.sys","Kernel Driver"
"TmFilter","Trend Micro Filter","Running","Auto","\??\C:\Program Files (x86)\Trend Micro\OfficeScan Client\TmXPFlt.sys","Kernel Driver"
"msisadrv","msisadrv","Running","Boot","C:\WINDOWS\system32\drivers\msisadrv.sys","Kernel Driver"
"MEIx64","Intel(R) Management Engine Interface ","Running","Manual","C:\WINDOWS\system32\drivers\TeeDriverW8x64.sys","Kernel Driver"
"IntcDAud","?udio Intel(R) para telas","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\intcdaud.inf_amd64_1b570d7b9a790b1a\IntcDAud.sys","Kernel Driver"
"IntcAzAudAddService","Service for Realtek HD Audio (WDM)","Running","Manual","C:\WINDOWS\system32\drivers\RTKVHD64.sys","Kernel Driver"
"IndirectKmd","Driver de modo Kernel de Indirect Displays","Running","Manual","C:\WINDOWS\system32\drivers\IndirectKmd.sys","Kernel Driver"
"usbccgp","Microsoft USB Generic Parent Driver","Running","Manual","C:\WINDOWS\system32\drivers\usbccgp.sys","Kernel Driver"
"iorate","Driver do Filtro de Taxa de E/S de Disco","Running","Boot","C:\WINDOWS\system32\drivers\iorate.sys","Kernel Driver"
"intelppm","Driver de Processador Intel","Running","Manual","C:\WINDOWS\system32\drivers\intelppm.sys","Kernel Driver"
"intelpep","Driver Intel(R) Power Engine Plug-in","Running","Boot","C:\WINDOWS\system32\drivers\intelpep.sys","Kernel Driver"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","Running","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_CNL.sys","Kernel Driver"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","Running","Manual","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","Kernel Driver"
"usbvideo","Dispositivo de v?deo USB (WDM)","Running","Manual","C:\WINDOWS\system32\Drivers\usbvideo.sys","Kernel Driver"
"USBPcap","USBPcap Capture Service","Running","Manual","C:\WINDOWS\system32\DRIVERS\USBPcap.sys","Kernel Driver"
"igfx","igfx","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\iigd_dch.inf_amd64_b33450aec57de6f7\igdkmd64.sys","Kernel Driver"
"iaStorAC","Intel(R) Chipset SATA/PCIe RST Premium Controller","Running","Boot","C:\WINDOWS\system32\drivers\iaStorAC.sys","Kernel Driver"
"USBHUB3","SuperSpeed Hub","Running","Manual","C:\WINDOWS\system32\drivers\UsbHub3.sys","Kernel Driver"
"UEFI","Driver UEFI da Microsoft","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\uefi.inf_amd64_c1628ffa62c8e54c\UEFI.sys","Kernel Driver"
"lltdio","Driver de E/S do Mapeador de Descoberta de Topologia de Camada de Link","Running","Auto","C:\WINDOWS\system32\drivers\lltdio.sys","Kernel Driver"
"ksthunk","Kernel Streaming Thunks","Running","Manual","C:\WINDOWS\system32\drivers\ksthunk.sys","Kernel Driver"
"Ucx01000","USB Host Support Library","Running","Manual","C:\WINDOWS\system32\drivers\ucx01000.sys","Kernel Driver"
"tsusbhub","Remote Desktop USB Hub","Running","Manual","C:\WINDOWS\system32\drivers\tsusbhub.sys","Kernel Driver"
"UcmCx0101","USB Connector Manager KMDF Class Extension","Running","Manual","C:\WINDOWS\system32\Drivers\UcmCx.sys","Kernel Driver"
"lxss","lxss","Running","Boot","C:\WINDOWS\system32\drivers\lxss.sys","Kernel Driver"
"kbdclass","Driver de Classe de Teclado","Running","Manual","C:\WINDOWS\system32\drivers\kbdclass.sys","Kernel Driver"
"umbus","Driver de Enumerador UMBus","Running","Manual","C:\WINDOWS\system32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys","Kernel Driver"
"usbaudio","Driver de ?udio USB (WDM)","Running","Manual","C:\WINDOWS\system32\drivers\usbaudio.sys","Kernel Driver"
"kbdhid","Driver de teclado HID","Running","Manual","C:\WINDOWS\system32\drivers\kbdhid.sys","Kernel Driver"
"KSecPkg","KSecPkg","Running","Boot","C:\WINDOWS\system32\Drivers\ksecpkg.sys","Kernel Driver"
"KSecDD","KSecDD","Running","Boot","C:\WINDOWS\system32\Drivers\ksecdd.sys","Kernel Driver"
"kdnic","Miniporta de Rede de Depura??o de Kernel da Microsoft (NDIS 6.20)","Running","Manual","C:\WINDOWS\system32\drivers\kdnic.sys","Kernel Driver"
"spaceport","Driver de Espa?os de Armazenamento","Running","Boot","C:\WINDOWS\system32\drivers\spaceport.sys","Kernel Driver"
"SpbCx","Simple Peripheral Bus Support Library","Running","Manual","C:\WINDOWS\system32\drivers\SpbCx.sys","Kernel Driver"
"srv2","Driver SMB 2.xxx do Servidor","Running","Manual","C:\WINDOWS\system32\DRIVERS\srv2.sys","File System Driver"
"PptpMiniport","Miniporta de rede remota (PPTP)","Running","Manual","C:\WINDOWS\system32\drivers\raspptp.sys","Kernel Driver"
"SgrmAgent","System Guard Runtime Monitor Agent","Running","Boot","C:\WINDOWS\system32\drivers\SgrmAgent.sys","Kernel Driver"
"Psched","Agendador de pacotes de servi?o","Running","System","C:\WINDOWS\system32\drivers\pacer.sys","Kernel Driver"
"prepdrvr","SMS Process Event Driver","Running","Manual","C:\WINDOWS\system32\DRIVERS\prepdrv.sys","Kernel Driver"
"pci","PCI Bus Driver","Running","Boot","C:\WINDOWS\system32\drivers\pci.sys","Kernel Driver"
"partmgr","Driver de parti??o","Running","Boot","C:\WINDOWS\system32\drivers\partmgr.sys","Kernel Driver"
"stornvme","Driver Microsoft Padr?o NVM Express","Running","Manual","C:\WINDOWS\system32\drivers\stornvme.sys","Kernel Driver"
"srvnet","srvnet","Running","Manual","C:\WINDOWS\system32\DRIVERS\srvnet.sys","File System Driver"
"PEAUTH","PEAUTH","Running","Auto","C:\WINDOWS\system32\drivers\peauth.sys","Kernel Driver"
"pdc","pdc","Running","Boot","C:\WINDOWS\system32\drivers\pdc.sys","Kernel Driver"
"pcw","Performance Counters for Windows Driver","Running","Boot","C:\WINDOWS\system32\drivers\pcw.sys","Kernel Driver"
"Serial","Serial port driver","Running","Manual","C:\WINDOWS\system32\drivers\serial.sys","Kernel Driver"
"rdyboost","ReadyBoost","Running","Boot","C:\WINDOWS\system32\drivers\rdyboost.sys","Kernel Driver"
"RdpVideoMiniport","Remote Desktop Video Miniport Driver","Running","Manual","C:\WINDOWS\system32\drivers\rdpvideominiport.sys","Kernel Driver"
"Serenum","Serenum Filter Driver","Running","Manual","C:\WINDOWS\system32\drivers\serenum.sys","Kernel Driver"
"secnvme","secnvme","Running","Boot","C:\WINDOWS\system32\drivers\secnvme.sys","Kernel Driver"
"RTSUER","Realtek USB Card Reader - UER","Running","Manual","C:\WINDOWS\system32\Drivers\RtsUer.sys","Kernel Driver"
"rspndr","Respondente de Descoberta de Topologia de Camada de Link","Running","Auto","C:\WINDOWS\system32\drivers\rspndr.sys","Kernel Driver"
"RasPppoe","Driver PPPOE de acesso remoto","Running","Manual","C:\WINDOWS\system32\DRIVERS\raspppoe.sys","Kernel Driver"
"Rasl2tp","Miniporta de rede remota (L2TP)","Running","Manual","C:\WINDOWS\system32\drivers\rasl2tp.sys","Kernel Driver"
"RasAgileVpn","Miniporta WAN (IKEv2)","Running","Manual","C:\WINDOWS\system32\drivers\AgileVpn.sys","Kernel Driver"
"RasSstp","Miniporta WAN (SSTP)","Running","Manual","C:\WINDOWS\system32\drivers\rassstp.sys","Kernel Driver"
