"Name","DisplayName","State","StartMode","PathName"
"ntrtscan","Apex One NT RealTime Scan","Running","Auto","""C:\Program Files (x86)\Trend Micro\OfficeScan Client\ntrtscan.exe"""
"nsi","Servi?o de Interface de Reposit?rio de Rede","Running","Auto","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"NlaSvc","Reconhecimento de Locais de Rede","Running","Auto","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"NVWMI","NVIDIA WMI Provider","Running","Auto","""C:\WINDOWS\system32\nvwmi64.exe"""
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Auto","""C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe"" -s NVDisplay.ContainerLocalSystem -f ""C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem"" -r -p 30000 "
"nvagent","Servi?o de Virtualiza??o de Rede","Running","Manual","C:\WINDOWS\system32\svchost.exe -k NetSvcs"
"Netlogon","Logon de rede","Running","Auto","C:\WINDOWS\system32\lsass.exe"
"vpnagent","Cisco AnyConnect Secure Mobility Agent","Running","Auto","""C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpnagent.exe"""
"NcbService","Agente de Conex?o de Rede","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmms","Gerenciamento da M?quina Virtual do Hyper-V","Running","Auto","C:\WINDOWS\system32\vmms.exe"
"netprofm","Servi?o da Lista de Redes","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"Netman","Conex?es de Rede","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PlugPlay","Plug and Play","Running","Manual","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"VaultSvc","Gerenciador de Credenciais","Running","Manual","C:\WINDOWS\system32\lsass.exe"
"pinetmgr","PI Network Manager","Running","Auto","""C:\Program Files\PIPC\bin\pinetmgr.exe"""
"Power","Desligar","Running","Auto","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PolicyAgent","Agente de Pol?tica IPsec","Running","Manual","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"UsoSvc","Atualizar o Servi?o Orchestrator","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"PhoneSvc","Servi?o de Telefonia","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"vmcompute","Servi?o de Computa??o de Host do Hyper-V","Running","Manual","C:\WINDOWS\system32\vmcompute.exe"
"PcaSvc","Servi?o Auxiliar de Compatibilidade de Programas","Running","Manual","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"pimsgss","PI Message Subsystem","Running","Auto","""C:\Program Files\PIPC\bin\pimsgss.exe"""
"pilogsrvX64","PIPC Log Server x64","Running","Auto","""C:\Program Files\PIPC\bin\pilogsrv.exe"""
"pilogsrv","PIPC Log Server","Running","Auto","""C:\Program Files (x86)\PIPC\bin\pilogsrv.exe"""
"Multi-user Cleanup Service","Multi-user Cleanup Service","Running","Auto","C:\Notes9\ntmulti.exe"
"lfsvc","Servi?o de Geolocaliza??o","Running","Manual","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Esta??o de trabalho","Running","Auto","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"LanmanServer","Server","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"LMS","Intel(R) Management and Security Application Local Management Service","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\lms.inf_amd64_f629911085770af0\LMS.exe"
"lmhosts","Auxiliar NetBIOS TCP/IP","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LicenseManager","Servi?o de Gerenciador de Licen?a do Windows","Running","Manual","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"iphlpsvc","Auxiliar de IP","Running","Auto","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"InstallService","Servi?o de Instala??o da Microsoft Store","Running","Manual","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"IKEEXT","M?dulos de Cria??o de Chaves IKE e AuthIP do IPSec","Running","Auto","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"KeyIso","Isolamento de Chave CNG","Running","Manual","C:\WINDOWS\system32\lsass.exe"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_ffc75848a6342fdf\jhi_service.exe"
"iVPAgent","Trend Micro Vulnerability Protection Service (Agent)","Running","Manual","""C:\Program Files (x86)\Trend Micro\iService\iVP\iVPAgent.exe"" -service"
"WavesSysSvc","Waves Audio Services","Running","Auto","C:\WINDOWS\System32\DriverStore\FileRepository\wavesapo75de.inf_amd64_444d52e511fbcc11\WavesSysSvc64.exe"
